2018-12-08 20:11:02,b'Lotus 97T Ayrton Senna 1985 nose Livery t-shirts. 25% off with Code YOUGET25 (Offer ends today) #F1Gifts\xe2\x80\xa6 https://t.co/6JTKgTwz2O',b'GridMediaUK',0,0,
2018-12-08 19:38:17,b'#LOTUS #LILY #STAMEN by #Kaye_Menner #Photography Quality Prints and Products at: https://t.co/OekTJQNrAz',b'creativebydsign',0,0,
2018-12-08 19:36:04,"b'So far, Keita came across 52 signs of season. What\xe2\x80\x99s next?\n#wind #carp #thunder #fog #winter #cloud #swallows\xe2\x80\xa6 https://t.co/7DGHzSxpnK'",b'J23472',2,0,
2018-12-08 19:35:32,b'#LOTUS #LILY #STAMEN by #Kaye_Menner #Photography Quality Prints and Products at: https://t.co/O9Y4n42ZET',b'KMennerFineArt',0,0,
2018-12-08 19:00:01,b'IBM &amp; SAP Jobs @JobEtage! \nOur current job offers: https://t.co/0CTQSOzKYF\n\n#Aspera #Cloud #Cognos #DB2 #FileNet\xe2\x80\xa6 https://t.co/gZiOpkdZ1a',b'JobEtage',0,0,
2018-12-08 18:55:07,b'#odisha #handloom #lotus #green #singleikat #saree from #nuapatna! #iwearhandloom #odishahandloom \n.\n.\xe2\x80\xa6 https://t.co/yLHAFI62lB',b'Utkalamrita',0,0,
2018-12-08 18:42:35,b'RT @A_Parolia: Catch me live on @AajtakDelhi tomorrow on the debate of #RERA vs #NCDRC at 12:30 pm #homebuyers #RealEstate #savejpwishtown\xe2\x80\xa6',b'Mahendr30688977',0,22,
2018-12-08 18:40:08,b'Anyone still remember #Lotus notes / #Domino? I remember a time when only #HP and a couple of #big4s were the lone\xe2\x80\xa6 https://t.co/TCHrq3E0pQ',b'SVI_Keith',0,0,
2018-12-08 18:26:17,b'Excited to share the latest addition to my #etsy shop: Malachite with black jasper and lotus flower bead\xe2\x80\xa6 https://t.co/OekheOvfot',b'its_mich_elle',0,0,
2018-12-08 18:15:20,b'RT @A_Parolia: Well #RERA does it again turns blind eye to original facts-figures &amp; give a cooked up estimate #Jaypee &amp; #Amrapali #unitech\xe2\x80\xa6',b'sunilkothari23',0,35,
2018-12-08 17:44:34,"b'RT @Chell_lawman: If you know, you know #legend #Jimclark #lotus https://t.co/pAhV4jQij7'",b'PhilipCreasey1',0,2,
2018-12-08 16:55:30,b'Peach #Lotus #Flower Gallery Wrapped Canvas https://t.co/4I7rOtWMhO',b'JoyfulTurtle',0,0,
2018-12-08 16:55:30,b'Peach #Lotus #Flower Gallery Wrapped Canvas https://t.co/z9Dzk99wlZ',b'AllAmazingStuff',0,0,
2018-12-08 16:44:48,b'RT @A_Parolia: Well #RERA does it again turns blind eye to original facts-figures &amp; give a cooked up estimate #Jaypee &amp; #Amrapali #unitech\xe2\x80\xa6',b'preity1480',0,35,
2018-12-08 16:39:08,"b""RT @xtinalyricsbot: Sing them out just for myself\nI don't even care\nwhat the world thinks 'bout how I sound\n- Sing For Me\n#LOTUS""",b'UhauIam',0,1,
2018-12-08 16:35:00,"b""RT @ClaudeSuper: IBM Selling Big Part Of Its Software Portfolio To India's HCL In $1.8 Billion Deal https://t.co/h90gwxaHeE #lotus #websphe\xe2\x80\xa6""",b'pjallifier',0,1,
2018-12-08 16:13:08,"b'#HolidaySeason #Sales\n#Lotus #Lakshmi #Darshan #Original #Indian #Painting #Crystals, #Ocean, #Hindu #Mythology,\xe2\x80\xa6 https://t.co/IYqI3uk1kv'",b'hlmalik',0,0,
2018-12-08 16:06:04,"b""IBM Selling Big Part Of Its Software Portfolio To India's HCL In $1.8 Billion Deal https://t.co/h90gwxaHeE #lotus #websphere #collaboration""",b'ClaudeSuper',1,1,
2018-12-08 15:18:16,"b""RT @XinkInc: In today's #Xinkadventcalendar we take a look at email and devices in 2001: https://t.co/VGnnpKPVF1 \n#email #emailsignatures #\xe2\x80\xa6""",b'jesperfrier',0,1,
2018-12-08 15:10:27,b'RT @LoveyStar: I own my #power! \xf0\x9f\x92\x8e\nI know my #strength! \xf0\x9f\x92\xab\nI am Tina Hamilton! \xf0\x9f\x91\x91\n#spiritual #spiritualawakening #spiritualgrowth #Growth #awa\xe2\x80\xa6',b'Karakashsqueal',0,1,
